,SUBJECT,SNR,CHOICE,TALKER,RESULT
0,1,-3.0,synthesized,3,0
1,1,-3.0,synthesized,3,0
2,1,-3.0,synthesized,3,0
3,1,-3.0,synthesized,3,0
4,1,-3.0,synthesized,3,0
5,1,-6.0,audio-only,0,0
6,1,-6.0,audio-only,0,0
7,1,-6.0,audio-only,0,1
8,1,-6.0,audio-only,0,0
9,1,-6.0,audio-only,0,0
10,1,-3.0,natural,1,1
11,1,-3.0,natural,1,1
12,1,-3.0,natural,1,0
13,1,-3.0,natural,1,1
14,1,-6.0,synthesized,1,0
15,1,-6.0,synthesized,1,0
16,1,-6.0,synthesized,1,0
17,1,0.0,synthesized,0,1
18,1,0.0,synthesized,0,1
19,1,0.0,synthesized,0,0
20,1,0.0,synthesized,0,1
21,1,-9.0,audio-only,0,0
22,1,-9.0,audio-only,0,0
23,1,-9.0,audio-only,0,1
24,1,-9.0,audio-only,0,1
25,1,-3.0,audio-only,0,0
26,1,-3.0,audio-only,0,0
27,1,-3.0,audio-only,0,0
28,1,-6.0,natural,1,1
29,1,-6.0,natural,1,0
30,1,-6.0,natural,1,0
31,1,-6.0,natural,1,0
32,1,-9.0,natural,0,0
33,1,-9.0,natural,0,0
34,1,-9.0,natural,0,0
35,1,-9.0,natural,0,0
36,1,-9.0,natural,0,0
37,1,0.0,natural,2,1
38,1,0.0,natural,2,1
39,1,0.0,natural,2,1
40,1,0.0,natural,2,0
41,1,-9.0,synthesized,1,0
42,1,-9.0,synthesized,1,0
43,1,-9.0,synthesized,1,0
44,1,0.0,audio-only,0,1
45,1,0.0,audio-only,0,1
46,1,0.0,audio-only,0,1
47,1,0.0,audio-only,0,0
48,1,-6.0,synthesized,3,0
49,1,-6.0,synthesized,3,1
50,1,-6.0,synthesized,3,0
51,1,-6.0,synthesized,3,1
52,1,-6.0,audio-only,0,0
53,1,-6.0,audio-only,0,0
54,1,-6.0,audio-only,0,0
55,1,-6.0,audio-only,0,0
56,1,-6.0,audio-only,0,0
57,1,0.0,natural,2,1
58,1,0.0,natural,2,1
59,1,0.0,natural,2,1
60,1,0.0,natural,2,1
61,1,-9.0,audio-only,1,0
62,1,-9.0,audio-only,1,0
63,1,-9.0,audio-only,1,1
64,1,-9.0,audio-only,1,0
65,1,-3.0,natural,1,0
66,1,-3.0,natural,1,1
67,1,-3.0,natural,1,0
68,1,-3.0,natural,1,0
69,1,-3.0,audio-only,0,0
70,1,-3.0,audio-only,0,0
71,1,-3.0,audio-only,0,0
72,1,-3.0,audio-only,0,0
73,1,-9.0,synthesized,2,0
74,1,-9.0,synthesized,2,0
75,1,-9.0,synthesized,2,0
76,1,-9.0,synthesized,2,0
77,1,-9.0,synthesized,2,0
78,1,-6.0,natural,1,0
79,1,-6.0,natural,1,0
80,1,-6.0,natural,1,0
81,1,-6.0,natural,1,0
82,1,0.0,synthesized,2,1
83,1,0.0,synthesized,2,0
84,1,0.0,synthesized,2,1
85,1,0.0,synthesized,2,0
86,1,0.0,audio-only,3,1
87,1,0.0,audio-only,3,0
88,1,0.0,audio-only,3,0
89,1,0.0,audio-only,3,0
90,1,0.0,audio-only,3,0
91,1,-9.0,natural,1,0
92,1,-9.0,natural,1,0
93,1,-9.0,natural,1,0
94,1,-9.0,natural,1,0
95,1,-3.0,synthesized,3,0
96,1,-3.0,synthesized,3,1
97,1,-3.0,synthesized,3,1
98,1,-3.0,synthesized,3,1
99,1,-3.0,synthesized,3,1
100,1,-6.0,audio-only,1,0
101,1,-6.0,audio-only,1,0
102,1,-6.0,audio-only,1,0
103,1,0.0,audio-only,2,1
104,1,0.0,audio-only,2,1
105,1,0.0,audio-only,2,1
106,1,0.0,audio-only,2,1
107,1,-3.0,natural,1,1
108,1,-3.0,natural,1,1
109,1,-3.0,natural,1,1
110,1,-3.0,natural,1,0
111,1,-3.0,synthesized,0,1
112,1,-3.0,synthesized,0,0
113,1,-3.0,synthesized,0,1
114,1,-6.0,natural,1,1
115,1,-6.0,natural,1,1
116,1,-6.0,natural,1,1
117,1,-6.0,natural,1,1
118,1,-6.0,synthesized,0,1
119,1,-6.0,synthesized,0,1
120,1,-6.0,synthesized,0,0
121,1,-6.0,synthesized,0,1
122,1,0.0,synthesized,1,1
123,1,0.0,synthesized,1,1
124,1,0.0,synthesized,1,0
125,1,-9.0,synthesized,2,1
126,1,-9.0,synthesized,2,1
127,1,-9.0,synthesized,2,0
128,1,-9.0,synthesized,2,0
129,1,-9.0,natural,0,0
130,1,-9.0,natural,0,1
131,1,-9.0,natural,0,1
132,1,-3.0,audio-only,1,0
133,1,-3.0,audio-only,1,0
134,1,-3.0,audio-only,1,0
135,1,-3.0,audio-only,1,0
136,1,-9.0,audio-only,1,0
137,1,-9.0,audio-only,1,1
138,1,-9.0,audio-only,1,0
139,1,0.0,natural,0,1
140,1,0.0,natural,0,1
141,1,0.0,natural,0,0
142,1,-9.0,audio-only,3,0
143,1,-9.0,audio-only,3,0
144,1,-9.0,audio-only,3,0
145,1,-9.0,audio-only,3,0
146,1,-9.0,natural,3,0
147,1,-9.0,natural,3,0
148,1,-9.0,natural,3,0
149,1,-9.0,natural,3,0
150,1,0.0,audio-only,2,1
151,1,0.0,audio-only,2,1
152,1,0.0,audio-only,2,0
153,1,0.0,audio-only,2,0
154,1,0.0,natural,1,1
155,1,0.0,natural,1,1
156,1,0.0,natural,1,1
157,1,0.0,natural,1,1
158,1,0.0,natural,1,1
159,1,-6.0,synthesized,3,0
160,1,-6.0,synthesized,3,0
161,1,-6.0,synthesized,3,0
162,1,-6.0,synthesized,3,0
163,1,-6.0,synthesized,3,0
164,1,-3.0,audio-only,1,0
165,1,-3.0,audio-only,1,1
166,1,-3.0,audio-only,1,1
167,1,-6.0,audio-only,2,0
168,1,-6.0,audio-only,2,0
169,1,-6.0,audio-only,2,0
170,1,-6.0,audio-only,2,0
171,1,-6.0,natural,3,1
172,1,-6.0,natural,3,1
173,1,-6.0,natural,3,1
174,1,-6.0,natural,3,1
175,1,-9.0,synthesized,2,1
176,1,-9.0,synthesized,2,1
177,1,-9.0,synthesized,2,1
178,1,-9.0,synthesized,2,0
179,1,0.0,synthesized,0,1
180,1,0.0,synthesized,0,1
181,1,0.0,synthesized,0,1
182,1,0.0,synthesized,0,0
183,1,-3.0,synthesized,0,0
184,1,-3.0,synthesized,0,0
185,1,-3.0,synthesized,0,0
186,1,-3.0,synthesized,0,0
187,1,-3.0,natural,2,0
188,1,-3.0,natural,2,1
189,1,-3.0,natural,2,1
190,1,-3.0,natural,2,0
191,1,-3.0,natural,2,0
192,1,-6.0,natural,0,1
193,1,-6.0,natural,0,0
194,1,-6.0,natural,0,0
195,1,-9.0,audio-only,0,0
196,1,-9.0,audio-only,0,0
197,1,-9.0,audio-only,0,0
198,1,-9.0,audio-only,0,0
199,1,-9.0,synthesized,0,1
200,1,-9.0,synthesized,0,0
