,SUBJECT,SNR,CHOICE,TALKER,RESULT
0,7,0,natural,0,1
1,7,0,natural,0,1
2,7,0,natural,0,1
3,7,-6,natural,1,1
4,7,-6,natural,1,1
5,7,-6,natural,1,1
6,7,-3,natural,0,1
7,7,-3,natural,0,1
8,7,-3,natural,0,1
9,7,-3,natural,0,1
10,7,-3,natural,0,1
11,7,0,audio-only,1,1
12,7,0,audio-only,1,0
13,7,0,audio-only,1,0
14,7,0,audio-only,1,0
15,7,-6,audio-only,1,1
16,7,-6,audio-only,1,1
17,7,-6,audio-only,1,1
18,7,-6,audio-only,1,1
19,7,-3,audio-only,1,1
20,7,-3,audio-only,1,1
21,7,-3,audio-only,1,1
22,7,-3,audio-only,1,1
23,7,-9,natural,1,1
24,7,-9,natural,1,1
25,7,-9,natural,1,1
26,7,-9,natural,1,1
27,7,0,synthesized,0,1
28,7,0,synthesized,0,1
29,7,0,synthesized,0,1
30,7,-9,audio-only,3,0
31,7,-9,audio-only,3,0
32,7,-9,audio-only,3,0
33,7,-9,audio-only,3,0
34,7,-9,synthesized,1,0
35,7,-9,synthesized,1,0
36,7,-9,synthesized,1,1
37,7,-6,synthesized,0,0
38,7,-6,synthesized,0,0
39,7,-6,synthesized,0,0
40,7,-6,synthesized,0,0
41,7,-3,synthesized,3,1
42,7,-3,synthesized,3,1
43,7,-3,synthesized,3,0
44,7,-3,natural,0,0
45,7,-3,natural,0,1
46,7,-3,natural,0,1
47,7,-3,natural,0,1
48,7,-9,natural,0,0
49,7,-9,natural,0,0
50,7,-9,natural,0,0
51,7,-9,natural,0,0
52,7,-6,audio-only,2,0
53,7,-6,audio-only,2,0
54,7,-6,audio-only,2,0
55,7,-6,audio-only,2,0
56,7,-6,audio-only,2,0
57,7,0,natural,2,1
58,7,0,natural,2,1
59,7,0,natural,2,1
60,7,0,natural,2,0
61,7,-3,audio-only,2,0
62,7,-3,audio-only,2,1
63,7,-3,audio-only,2,1
64,7,-3,audio-only,2,0
65,7,0,audio-only,3,0
66,7,0,audio-only,3,1
67,7,0,audio-only,3,1
68,7,0,audio-only,3,1
69,7,0,synthesized,3,0
70,7,0,synthesized,3,0
71,7,0,synthesized,3,0
72,7,0,synthesized,3,1
73,7,0,synthesized,3,1
74,7,-3,synthesized,1,1
75,7,-3,synthesized,1,1
76,7,-3,synthesized,1,1
77,7,-3,synthesized,1,1
78,7,-9,synthesized,0,0
79,7,-9,synthesized,0,0
80,7,-9,synthesized,0,0
81,7,-9,synthesized,0,0
82,7,-6,synthesized,3,0
83,7,-6,synthesized,3,0
84,7,-6,synthesized,3,0
85,7,-6,synthesized,3,0
86,7,-6,natural,1,1
87,7,-6,natural,1,1
88,7,-6,natural,1,1
89,7,-6,natural,1,1
90,7,-9,audio-only,0,0
91,7,-9,audio-only,0,0
92,7,-9,audio-only,0,0
93,7,-9,audio-only,0,0
94,7,-9,audio-only,0,0
95,7,-6,natural,1,1
96,7,-6,natural,1,1
97,7,-6,natural,1,1
98,7,-6,natural,1,1
99,7,-3,natural,1,0
100,7,-3,natural,1,1
101,7,-3,natural,1,1
102,7,-3,natural,1,1
103,7,-3,natural,1,1
104,7,-6,audio-only,1,1
105,7,-6,audio-only,1,1
106,7,-6,audio-only,1,1
107,7,-6,audio-only,1,0
108,7,-9,synthesized,3,0
109,7,-9,synthesized,3,0
110,7,-9,synthesized,3,0
111,7,-9,synthesized,3,0
112,7,-9,synthesized,3,0
113,7,0,audio-only,2,1
114,7,0,audio-only,2,1
115,7,0,audio-only,2,1
116,7,0,audio-only,2,1
117,7,-9,natural,1,1
118,7,-9,natural,1,1
119,7,-9,natural,1,1
120,7,0,synthesized,1,1
121,7,0,synthesized,1,1
122,7,0,synthesized,1,1
123,7,0,synthesized,1,1
124,7,0,synthesized,1,1
125,7,-6,synthesized,0,1
126,7,-6,synthesized,0,0
127,7,-6,synthesized,0,1
128,7,-6,synthesized,0,1
129,7,-3,synthesized,1,1
130,7,-3,synthesized,1,1
131,7,-3,synthesized,1,1
132,7,-3,synthesized,1,1
133,7,-3,audio-only,0,1
134,7,-3,audio-only,0,1
135,7,-3,audio-only,0,1
136,7,-3,audio-only,0,1
137,7,0,natural,2,1
138,7,0,natural,2,1
139,7,0,natural,2,1
140,7,0,natural,2,1
141,7,-9,audio-only,1,0
142,7,-9,audio-only,1,0
143,7,-9,audio-only,1,1
144,7,-9,audio-only,1,1
145,7,-6,synthesized,3,0
146,7,-6,synthesized,3,0
147,7,-6,synthesized,3,0
148,7,-6,synthesized,3,0
149,7,-6,audio-only,3,0
150,7,-6,audio-only,3,0
151,7,-6,audio-only,3,0
152,7,-6,audio-only,3,0
153,7,-6,audio-only,3,0
154,7,-3,audio-only,0,0
155,7,-3,audio-only,0,0
156,7,-3,audio-only,0,0
157,7,-3,audio-only,0,0
158,7,-9,synthesized,1,1
159,7,-9,synthesized,1,1
160,7,-9,synthesized,1,1
161,7,-9,synthesized,1,1
162,7,-9,synthesized,1,1
163,7,0,synthesized,1,1
164,7,0,synthesized,1,1
165,7,0,synthesized,1,1
166,7,0,synthesized,1,1
167,7,-6,natural,2,1
168,7,-6,natural,2,1
169,7,-6,natural,2,0
170,7,-9,natural,1,1
171,7,-9,natural,1,1
172,7,-9,natural,1,1
173,7,-9,natural,1,1
174,7,-3,synthesized,1,1
175,7,-3,synthesized,1,1
176,7,-3,synthesized,1,0
177,7,-3,synthesized,1,0
178,7,-3,synthesized,1,1
179,7,-9,audio-only,3,0
180,7,-9,audio-only,3,0
181,7,-9,audio-only,3,0
182,7,-3,natural,0,1
183,7,-3,natural,0,1
184,7,-3,natural,0,1
185,7,-3,natural,0,1
186,7,0,natural,0,1
187,7,0,natural,0,1
188,7,0,natural,0,1
189,7,0,natural,0,1
190,7,0,audio-only,3,1
191,7,0,audio-only,3,1
192,7,0,audio-only,3,1
193,7,0,audio-only,3,1
194,7,-3,natural,0,1
195,7,-3,natural,0,1
196,7,-3,natural,0,1
197,7,-3,natural,0,1
198,7,-3,synthesized,3,1
199,7,-3,synthesized,3,0
200,7,-3,synthesized,3,0
201,7,-3,synthesized,3,0
202,7,-9,natural,3,0
203,7,-9,natural,3,0
204,7,-9,natural,3,1
205,7,-6,audio-only,1,1
206,7,-6,audio-only,1,1
207,7,-6,audio-only,1,1
208,7,-6,audio-only,1,1
209,7,-6,synthesized,2,0
210,7,-6,synthesized,2,0
211,7,-6,synthesized,2,0
212,7,-6,synthesized,2,0
213,7,-6,synthesized,2,0
214,7,-9,synthesized,1,1
215,7,-9,synthesized,1,0
216,7,-9,synthesized,1,1
217,7,-9,synthesized,1,1
218,7,0,synthesized,2,1
219,7,0,synthesized,2,1
220,7,0,synthesized,2,1
221,7,0,synthesized,2,1
222,7,0,natural,1,1
223,7,0,natural,1,1
224,7,0,natural,1,1
225,7,0,natural,1,1
226,7,0,audio-only,3,0
227,7,0,audio-only,3,0
228,7,0,audio-only,3,0
229,7,0,audio-only,3,0
230,7,-9,audio-only,0,0
231,7,-9,audio-only,0,0
232,7,-9,audio-only,0,0
233,7,-6,natural,0,1
234,7,-6,natural,0,1
235,7,-6,natural,0,1
236,7,-6,natural,0,1
237,7,-3,audio-only,2,1
238,7,-3,audio-only,2,0
239,7,-3,audio-only,2,1
240,7,-3,audio-only,2,1
241,7,-3,audio-only,2,1
242,7,-3,audio-only,2,1
243,7,-3,audio-only,2,1
244,7,-3,audio-only,2,1
245,7,-6,natural,3,0
246,7,-6,natural,3,0
247,7,-6,natural,3,1
248,7,-6,natural,3,1
249,7,-3,natural,2,1
250,7,-3,natural,2,1
251,7,-3,natural,2,1
252,7,-6,synthesized,1,1
253,7,-6,synthesized,1,1
254,7,-6,synthesized,1,1
255,7,-6,synthesized,1,1
256,7,0,natural,3,1
257,7,0,natural,3,1
258,7,0,natural,3,1
259,7,0,natural,3,1
260,7,0,synthesized,0,1
261,7,0,synthesized,0,1
262,7,0,synthesized,0,1
263,7,0,synthesized,0,1
264,7,-6,audio-only,0,0
265,7,-6,audio-only,0,0
266,7,-6,audio-only,0,1
267,7,0,audio-only,1,1
268,7,0,audio-only,1,1
269,7,0,audio-only,1,1
270,7,-9,natural,2,1
271,7,-9,natural,2,1
272,7,-9,natural,2,1
273,7,-9,natural,2,1
274,7,-9,natural,2,1
275,7,-3,synthesized,3,0
276,7,-3,synthesized,3,0
277,7,-3,synthesized,3,0
278,7,-3,synthesized,3,0
279,7,-9,audio-only,2,1
280,7,-9,audio-only,2,1
281,7,-9,audio-only,2,1
282,7,-9,synthesized,2,0
283,7,-9,synthesized,2,0
284,7,-9,synthesized,2,0
285,7,-9,synthesized,2,0
286,7,-3,audio-only,1,1
287,7,-3,audio-only,1,1
288,7,-3,audio-only,1,1
289,7,-9,natural,1,0
290,7,-9,natural,1,0
291,7,-9,natural,1,0
292,7,-9,natural,1,1
293,7,-6,synthesized,3,0
294,7,-6,synthesized,3,0
295,7,-6,synthesized,3,0
296,7,-6,synthesized,3,1
297,7,0,audio-only,2,1
298,7,0,audio-only,2,1
299,7,0,audio-only,2,1
300,7,0,audio-only,2,1
301,7,-6,natural,3,1
302,7,-6,natural,3,1
303,7,-6,natural,3,0
304,7,-6,natural,3,1
305,7,0,natural,2,1
306,7,0,natural,2,1
307,7,0,natural,2,1
308,7,0,natural,2,1
309,7,0,natural,2,1
310,7,-3,synthesized,2,1
311,7,-3,synthesized,2,1
312,7,-3,synthesized,2,1
313,7,0,synthesized,1,1
314,7,0,synthesized,1,1
315,7,0,synthesized,1,1
316,7,0,synthesized,1,1
317,7,-6,audio-only,0,0
318,7,-6,audio-only,0,0
319,7,-6,audio-only,0,0
320,7,-6,audio-only,0,0
321,7,-9,audio-only,1,0
322,7,-9,audio-only,1,0
323,7,-9,audio-only,1,0
324,7,-9,audio-only,1,0
